34,2024-01-07T02:57:49Z,32197621996.90,3.96,4.17,2024-01-07T02:55:13Z,6936986204.20,3.95,4.47
35,2024-01-07T02:57:49Z,16268468251.50,9.90,10.20,2024-01-07T02:55:13Z,3296888038.70,12.65,13.45
36,2024-01-07T02:57:49Z,3537491342.50,51.80,53.99,2024-01-07T02:55:13Z,858272881.70,47.40,52.49
37,2024-01-07T02:57:49Z,1384704353.20,449.40,473.50,2024-01-07T02:55:13Z,144014081.90,470.20,490.00
38,2024-01-07T02:57:49Z,261038534.40,1154.00,1184.00,2024-01-07T02:55:13Z,39152622.40,1035.00,1047.00
39,2024-01-07T02:57:49Z,137442688.80,1770.00,1845.00,2024-01-07T02:55:13Z,25007105.20,1536.00,1796.00
40,2024-01-07T02:57:49Z,67168067.20,5571.00,5631.00,2024-01-07T02:55:13Z,12847159.00,5543.00,6040.00
44,2024-01-07T02:57:10Z,2676807.20,11070.00,11150.00,2024-01-07T02:55:07Z,416408.30,11580.00,12830.00
434,2024-01-07T02:55:46Z,4218.90,45120.00,58000.00,2024-01-07T02:54:53Z,153.10,500.00,71490.00
438,2024-01-07T02:56:09Z,5925.30,1937000.00,2246000.00,2024-01-07T02:54:56Z,357.00,1665000.00,2809000.00
439,2024-01-07T02:56:09Z,6674.00,7807.00,18580.00,2024-01-07T02:54:56Z,37.60,24.00,24670.00
440,2024-01-07T02:55:46Z,3264.60,3237000.00,3599000.00,2024-01-07T02:54:53Z,285.80,2376000.00,3495000.00
447,2024-01-07T02:57:57Z,9556.40,119400.00,146000.00,2024-01-07T02:55:14Z,353.70,0.00,149900.00
448,2024-01-07T02:57:57Z,18047.40,1599000.00,1737000.00,2024-01-07T02:55:14Z,1417.30,1626000.00,1899000.00
454,2024-01-07T02:56:16Z,1277.70,25530.00,42130.00,2024-01-07T02:54:57Z,9.10,0.00,55000.00
458,2024-01-07T02:56:17Z,347.90,99940.00,266800.00,2024-01-07T02:54:57Z,0.90,0.00,899900.00
459,2024-01-07T02:56:16Z,183.60,102600.00,275800.00,2024-01-07T02:54:57Z,5.40,0.00,990000.00
462,2024-01-07T02:56:18Z,113.90,1524000.00,2523000.00,2024-01-07T02:54:57Z,1.90,0.00,3999000.00
484,2024-01-07T02:56:18Z,2891.90,1606.00,4944.00,2024-01-07T02:54:57Z,154.20,100.00,16390.00
486,2024-01-07T02:56:18Z,3524.00,15500.00,38500.00,2024-01-07T02:54:57Z,39.40,0.00,49500.00
488,2024-01-07T02:56:19Z,7097.80,29000.00,34980.00,2024-01-07T02:54:58Z,89.40,0.00,55000.00
490,2024-01-07T02:56:19Z,885.50,95020.00,108100.00,2024-01-07T02:54:58Z,20.80,0.00,240000.00
491,2024-01-07T02:56:19Z,1050.70,112000.00,189900000.00,2024-01-07T02:54:58Z,48.80,0.00,479000.00
493,2024-01-07T02:56:20Z,658.00,115700.00,216900.00,2024-01-07T02:54:58Z,12.60,50000.00,590000.00
496,2024-01-07T02:56:19Z,351.20,1339000.00,2250000.00,2024-01-07T02:54:58Z,0.90,0.00,2400000.00
498,2024-01-07T02:56:20Z,267.60,2111000.00,3389000.00,2024-01-07T02:54:58Z,4.20,0.00,3296000.00
499,2024-01-07T02:56:29Z,7601.30,7507.00,15000.00,2024-01-07T02:54:59Z,52.00,101.00,100000.00
501,2024-01-07T02:56:29Z,1936.70,107.90,49850.00,2024-01-07T02:54:59Z,16.80,109.00,109900.00
503,2024-01-07T02:56:30Z,896.00,155800.00,257500.00,2024-01-07T02:54:59Z,7.70,1110.00,367000.00
519,2024-01-07T02:56:30Z,18547.70,1049000.00,1195000.00,2024-01-07T02:55:00Z,1199.80,718100.00,1238000.00
520,2024-01-07T02:56:30Z,3161.00,25900.00,38980.00,2024-01-07T02:55:00Z,25.40,951.00,80000.00
526,2024-01-07T02:56:34Z,5263.80,35340.00,43980.00,2024-01-07T02:55:00Z,72.10,101.00,58200.00
527,2024-01-07T02:56:34Z,11903.70,1132000.00,1191000.00,2024-01-07T02:55:00Z,797.30,1107000.00,1433000.00
533,2024-01-07T02:56:35Z,550.40,37430.00,63200.00,2024-01-07T02:55:00Z,11.40,15.10,139000.00
563,2024-01-07T02:56:11Z,7710.70,9309.00,17990.00,2024-01-07T02:54:56Z,0.20,0.00,300000.00
564,2024-01-07T02:56:11Z,12669.50,23160.00,40730.00,2024-01-07T02:54:56Z,47.40,0.00,100000.00
565,2024-01-07T02:56:14Z,2793.90,12820.00,21990.00,2024-01-07T02:54:57Z,66.50,0.00,50000.00
568,2024-01-07T02:56:11Z,1251.80,195100.00,495000.00,2024-01-07T02:54:57Z,13.80,0.00,0.00
569,2024-01-07T02:56:11Z,714.70,1069.00,176000.00,2024-01-07T02:54:57Z,9.60,0.00,0.00
570,2024-01-07T02:56:15Z,957.10,249200.00,370000.00,2024-01-07T02:54:57Z,26.80,0.00,599900.00
573,2024-01-07T02:56:14Z,201.80,1995000.00,2889000.00,2024-01-07T02:54:57Z,-1.00,0.00,0.00
574,2024-01-07T02:56:15Z,417.90,1917000.00,3099000.00,2024-01-07T02:54:57Z,0.50,0.00,3980000.00
